Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition,temp,dwpt,rhum,prcp,wdir,wspd
88,26.4,26.4,22.9,71,0,0,0,0,0,0,0,3.87,0.2,1.1,68,28.51,29.18,49.28571429,26.5,23.6,84,0,200,5.4
88,26.3,26.3,24.1,75,0,0,0,0,0,0,0,3.87,0.1,1.1,75,28.52,29.19,53.14285714,27,24.1,84,0,200,3.6
88,27,30.5,24.7,75,0,0,0,0,0,0,0,3.87,0,0,64,28.52,29.19,52.14285714,27,25.6,92,0,0,0
88,27,30.8,25.2,76,0,0,0,0,0,0,0,3.87,0,0,161,28.59,29.26,49.85714286,25,24.3,96,0,0,0
88,24.6,24.6,23.9,79,0,0,0,0.61,0.61,0,0.61,4.48,0,0,194,28.61,29.28,54.42857143,26.8,24.3,86,0,0,0
88,26,26,24.4,80,0,0,0,0,0,0,0.61,4.48,0.2,2.2,84,28.55,29.22,51.71428571,24.3,24,98,0.5,0,0
88,24.4,24.4,23.9,83,0,0,0.07,0.45,1.89,0.02,2.5,6.37,0.1,1.1,238,28.49,29.16,51.28571429,26.2,25.7,97,0,0,0
88,25.3,25.3,24.9,85,0,0,1.68,1.3,3.21,0.23,1.3,7.69,0,0,137,28.45,29.12,50.14285714,25.2,24.9,98,0,0,0
88,24.9,24.9,24.3,83,0,0,0,0,4.03,0,2.12,8.51,0,0,136,28.46,29.13,52,25.8,24.6,93,0,0,0
88,24.8,24.8,24.4,84,0,0,0,0.19,0.63,0,2.75,9.14,0,0,168,28.48,29.15,50.42857143,24.2,23.9,98,0,0,0
88,24.6,24.6,24.1,83,0,0,0,0.73,1.68,0,3.8,10.19,0,0,163,28.45,29.12,55.71428571,25.5,24.3,93,0.1,0,0
88,25.4,25.4,24.2,82,0,0,0,0,0,0,3.82,10.21,0,0,110,28.41,29.08,41.85714286,25.5,22.6,84,0.5,60,7.6
88,23.6,23.6,22.4,78,0,0,0.12,0.08,0.47,0.04,4.29,10.68,0.3,2.2,243,28.4,29.07,47.28571429,24.2,23.2,94,0,0,0
88,24,24,23.7,85,0,0,0,0.1,1.36,0,5.18,11.57,0,0,56,28.46,29.13,62.42857143,25.3,24.3,94,0,110,3.6
88,25,25,24.9,84,0,0,0,0,2.89,0,0,13.1,0,1.1,117,28.51,29.18,45,24.5,23.8,96,0,0,0
88,24.6,24.6,23.9,84,0,0,0,0.02,3.22,0,0.33,13.43,0,0,86,28.57,29.24,48.71428571,25.1,24.2,95,0,0,0
88,25.2,25.2,24.4,82,0,0,0,0,0,0,0.33,13.43,0,1.1,207,28.65,29.32,48.57142857,23.2,22.9,98,1,350,3.6
88,23.5,23.5,23.1,84,0,0,0,0.02,0.74,0,1.07,14.17,0,0,188,28.69,29.36,48.57142857,25,23.4,91,0,0,0
88,24.7,24.7,24.5,85,0,0,0,0,0,0,1.08,14.18,0,0,166,28.68,29.35,55.57142857,26,25.3,96,0,0,0
88,25.3,25.3,24.9,82,0,0,0,0,0,0,1.08,14.18,0,0,158,28.67,29.34,40.85714286,26.2,25.2,94,0,0,0
88,25,25,24.2,80,0,0,0,0,0,0,1.08,14.18,0,0,116,28.63,29.3,51.14285714,26.6,25.4,93,0,0,0
88,27.1,31.2,25.6,80,0,0,0,0,0,0,0,14.18,0,0,145,28.61,29.28,55.85714286,27.2,25.6,91,0,220,3.6
88,27.4,31.7,25.5,77,0,0,0,0,0,0,0,14.18,0,0,120,28.56,29.23,50,25.5,24.8,96,0,0,0
88,25.2,25.2,24.3,82,0,0,0,0,0.57,0,0.57,0,0,1.1,90,28.55,29.22,50.14285714,26.5,25.1,92,0.4,0,0
88,26.3,26.3,25.2,81,0,0,0,0,0,0,0.57,0,0,1.1,244,28.63,29.3,47.57142857,25,22.3,85,0,100,13
88,24.4,24.4,20.9,70,0,0,0,0,0,0,0.59,0.02,0.2,2.2,164,28.7,29.37,50.28571429,24,20.9,83,0,0,0
88,23.8,23.8,20.2,69,0,0,0,0,0,0,0.59,0.02,0,1.1,150,28.72,29.39,50.57142857,23.2,20.3,84,0,0,0
88,22.5,22.5,19.5,70,0,0,0,0,0,0,0.59,0.02,0,0,159,28.72,29.39,53.28571429,23.7,22,90,0,0,0
88,23.5,23.5,20.9,72,0,0,0,0,0,0,0,0.02,0,1.1,167,28.72,29.39,50.14285714,24,22.1,89,0,0,0
88,22.2,22.2,21.2,74,0,0,0,0,0,0,0,0.02,0,0,141,28.76,29.43,46.71428571,26,23.1,84,0,0,0
88,24.8,24.8,22.4,73,0,0,0,0,0,0,0,0.02,0,1.1,179,28.73,29.4,54,25.7,23.2,86,0,0,0
88,24.6,24.6,22.4,74,0,0,0,0,0,0,0,0.02,0,1.1,163,28.71,29.38,46.71428571,24.7,22.6,88,0,0,0
88,23.7,23.7,21.4,74,0,0,0,0,0,0,0,0.02,0,1.1,157,28.68,29.35,47.14285714,25,22.5,86,0,0,0
88,23.7,23.7,21.6,73,0,0,0,0,0,0,0,0.02,0,1.1,152,28.65,29.32,46.14285714,25.5,23.4,88,0,70,3.6
88,25.1,25.1,22.2,72,0,0,0,0,0,0,0,0.02,0,1.1,180,28.68,29.35,49.42857143,25.2,23.1,88,0,90,3.6
