Time,Temperature(℃),Feels Like(℃),Dew Point(℃),Humidity(%),Solar(W/m²),UVI,Rain Rate(in/hr),Daily(in),Event(in),Hourly(in),Weekly(in),Monthly(in),Wind Speed(mph),Wind Gust(mph),Wind Direction(º),Relative(inHg),Absolute(inHg),Weather Condition
88,26.4,26.4,22.9,71,0,0,0,0,0,0,0,3.87,0.2,1.1,68,28.51,29.18,27.58571429
88,26.3,26.3,24.1,75,0,0,0,0,0,0,0,3.87,0.1,1.1,75,28.52,29.19,32.37142857
88,27,30.5,24.7,75,0,0,0,0,0,0,0,3.87,0,0,64,28.52,29.19,27.08571429
88,27,30.8,25.2,76,0,0,0,0,0,0,0,3.87,0,0,161,28.59,29.26,29.47142857
88,24.6,24.6,23.9,79,0,0,0,0.61,0.61,0,0.61,4.48,0,0,194,28.61,29.28,31.87142857
88,26,26,24.4,80,0,0,0,0,0,0,0.61,4.48,0.2,2.2,84,28.55,29.22,26.37142857
88,24.4,24.4,23.9,83,0,0,0.07,0.45,1.89,0.02,2.5,6.37,0.1,1.1,238,28.49,29.16,30.28571429
88,25.3,25.3,24.9,85,0,0,1.68,1.3,3.21,0.23,1.3,7.69,0,0,137,28.45,29.12,33.12857143
88,24.9,24.9,24.3,83,0,0,0,0,4.03,0,2.12,8.51,0,0,136,28.46,29.13,25.5
88,24.8,24.8,24.4,84,0,0,0,0.19,0.63,0,2.75,9.14,0,0,168,28.48,29.15,29.94285714
88,24.6,24.6,24.1,83,0,0,0,0.73,1.68,0,3.8,10.19,0,0,163,28.45,29.12,29.84285714
88,25.4,25.4,24.2,82,0,0,0,0,0,0,3.82,10.21,0,0,110,28.41,29.08,24.11428571
88,23.6,23.6,22.4,78,0,0,0.12,0.08,0.47,0.04,4.29,10.68,0.3,2.2,243,28.4,29.07,30.32857143
88,24,24,23.7,85,0,0,0,0.1,1.36,0,5.18,11.57,0,0,56,28.46,29.13,29.2
88,25,25,24.9,84,0,0,0,0,2.89,0,0,13.1,0,1.1,117,28.51,29.18,31.37142857
88,24.6,24.6,23.9,84,0,0,0,0.02,3.22,0,0.33,13.43,0,0,86,28.57,29.24,31.84285714
88,25.2,25.2,24.4,82,0,0,0,0,0,0,0.33,13.43,0,1.1,207,28.65,29.32,24.7
88,23.5,23.5,23.1,84,0,0,0,0.02,0.74,0,1.07,14.17,0,0,188,28.69,29.36,30.45714286
88,24.7,24.7,24.5,85,0,0,0,0,0,0,1.08,14.18,0,0,166,28.68,29.35,30.07142857
88,25.3,25.3,24.9,82,0,0,0,0,0,0,1.08,14.18,0,0,158,28.67,29.34,25.62857143
88,25,25,24.2,80,0,0,0,0,0,0,1.08,14.18,0,0,116,28.63,29.3,26.3
88,27.1,31.2,25.6,80,0,0,0,0,0,0,0,14.18,0,0,145,28.61,29.28,32.55714286
88,27.4,31.7,25.5,77,0,0,0,0,0,0,0,14.18,0,0,120,28.56,29.23,28.94285714
88,25.2,25.2,24.3,82,0,0,0,0,0.57,0,0.57,0,0,1.1,90,28.55,29.22,26.58571429
88,26.3,26.3,25.2,81,0,0,0,0,0,0,0.57,0,0,1.1,244,28.63,29.3,26.54285714
88,24.4,24.4,20.9,70,0,0,0,0,0,0,0.59,0.02,0.2,2.2,164,28.7,29.37,32.81428571
88,23.8,23.8,20.2,69,0,0,0,0,0,0,0.59,0.02,0,1.1,150,28.72,29.39,24.68571429
88,22.5,22.5,19.5,70,0,0,0,0,0,0,0.59,0.02,0,0,159,28.72,29.39,27.92857143
